Name	logE-evidence	error  
GRB080916C	-0.150524062829855634E+02	0.126598666398059168E+00	
GRB081221	-0.119571667465671325E+02	0.124070490961254123E+00
GRB090328	-0.117878821376600644E+02	0.107497217584521187E+00
GRB090618	-0.151626736451371489E+02	0.142693540889405973E+00
GRB090926A	-0.170810519269991730E+02	0.155129699995624454E+00
GRB091003A	-0.633602762417070053E+01	0.883807949847286584E-01
GRB100728A	-0.133227525105410241E+02	0.122661004428682260E+00
GRB120119A	-0.117038184670309136E+02	0.117475313840576981E+00
GRB130427A	-0.224633531567381688E+02	0.181345818746029286E+00
GRB130518A	-0.106493460213171094E+02	0.116979848789684038E+00
GRB130925A	-0.175172909291189960E+02	0.160249072081078830E+00
GRB131108A	-0.134878253719495849E+02	0.121810969327980897E+00
GRB131231A	-0.220797676995073395E+02	0.169732307697585932E+00
GRB140206A	-0.172489871457066393E+02	0.144310775643206102E+00
GRB140508A	-0.103875461960923641E+02	0.964054311484470877E-01
GRB141028A	-0.124934136880902908E+02	0.100441894718605845E+00
GRB150314A	-0.150844610182264827E+02	0.128658114957087955E+00
GRB150403A	-0.117859205217607315E+02	0.107369707329870015E+00
GRB150514A	-0.124594491432237113E+02	0.117342926484838850E+00
GRB150821A	-0.171052406961046017E+02	0.133525797629869880E+00
GRB160509A	-0.130116532707307293E+02	0.125870898723300678E+00
GRB160625B	-0.256665012563811672E+02	0.135195619297217906E+00
GRB171010A	-0.214966572233882864E+02	0.168075858265774258E+00
GRB180703A	-0.157058382643882108E+02	0.991259185206786742E-01
GRB180720B	-0.149171422793119337E+02	0.139785243756233357E+00
GRB190114C	-0.336004164843117721E+02	0.173039472359857144E+00
GRB200613A	-0.121732055232787069E+02	0.108224223116247784E+00
GRB200829A	-0.199366115540775333E+02	0.158777716191181750E+00 
GRB201216C	-0.177516593764371926E+02	0.125532458676201136E+00
GRB210204A	-0.177639506626205304E+02	0.124543557876099525E+00
GRB210610B	-0.204326143046853197E+02	0.153548398372917283E+00
GRB210619B	-0.171112793229585947E+02	0.145841132377653310E+00
