Name,logE-evidence,error  
GRB190114C,15.0295,0.0147
GRB141028A,-8.5597,0.0128
GRB080916C,-11.3603,0.0154
GRB100728A,-19.2448,0.0125
GRB130427A,6.5798,0.0135
GRB131231A,16.8521,0.0148
GRB091003A,18.7154,0.0139
GRB150314A,33.0176,0.0141
GRB090328,3.9338,0.0128
GRB150821A,-15.2024,0.0125
GRB130925A,-23.2576,0.0119
GRB090926A,-1.0797,0.0134
GRB160509A,3.8637,0.0134
GRB150403A,0.0116,0.0131
GRB210619B,43.2914,0.0156
GRB160625B,26.4375,0.0147
GRB210204A,-5.1277,0.0126
GRB140206A,16.4910,0.0136
GRB171010A,-17.4165,0.0119
GRB201216C,-6.1037,0.0126
GRB120119A,-6.3330,0.0128
GRB081221,-0.2307,0.0130
GRB200829A,43.0936,0.0146
GRB180720B,4.4117,0.0145
GRB140508A,2.3378,0.0130
GRB090618,-12.4949,0.0126
GRB210610B,-23.7213,0.0120
GRB150514A,8.3030,0.0132
GRB200613A,-7.4327,0.0126
GRB131108A,17.3880,0.0140
GRB130518A,15.9366,0.0142
GRB180703A,8.6957,0.0133
