Name,logE-evidence,error
GRB190114C,15.7547,0.0097
GRB141028A,-7.8538,0.0080
GRB080916C,-10.6928,0.0098
GRB100728A,-18.5929,0.0072
GRB130427A,7.3505,0.0090
GRB131231A,17.5328,0.0083
GRB091003A,19.5354,0.0083
GRB150314A,33.8574,0.0085
GRB090328,4.5732,0.0079
GRB150821A,-14.5309,0.0068
GRB130925A,-22.6076,0.0067
GRB090926A,-0.3195,0.0081
GRB160509A,4.6076,0.0081
GRB150403A,0.7660,0.0082
GRB210619B,44.3198,0.0093
GRB160625B,27.2521,0.0094
GRB210204A,-4.4374,0.0086
GRB140206A,17.2663,0.0084
GRB171010A,-16.7664,0.0067
GRB201216C,-5.3888,0.0077
GRB120119A,-5.6006,0.0075
GRB081221,0.4654,0.0081
GRB200829A,43.9904,0.0089
GRB180720B,5.2210,0.0094
GRB140508A,3.0719,0.0078
GRB090618,-11.7786,0.0073
GRB210610B,-23.1158,0.0074
GRB150514A,9.0753,0.0076
GRB200613A,-6.7032,0.0073
GRB131108A,18.2190,0.0081
GRB130518A,16.7619,0.0087
GRB180703A,9.3679,0.0075
