GRBname      linear_LIV(GeV)      quadratic_LIV(GeV)
GRB210619B   5.52E15               1.72E7
GRB210610B   3.23E13               2.03E5
GRB210204A   1.02E13               1.31E5
GRB2101216C  1.9E14                3.38E5
GRB200829A   4.28E14               2.52E6
GRB200613A   4.74E13               1.68E5
GRB190114C   5.43E14               2.22E6
GRB180720B   9.54E14               6.46E6
GRB180703A   3.6E13                1.19E5
GRB171010A   5.68E13               9.96E4
GRB160625B   1.35E15               7.28E6
GRB160509A   1.73E14               5.21E5
GRB150821A   1.01E13               1.1E5
GRB150514A   3.57E13               1.3E5
GRB150403A   2.18E13               5.8E5
GRB150314A   3.91E14               2.85E5
GRB141028A   1.53E14               2.75E5
GRB140508A   1.21E14               4.77E5
GRB140206A   4.57E14               9.33E5
GRB131231A   2.09E13               1.91E5
GRB131108A   2.1E14                6.04E5
GRB130925A   8.18E12               6.15E4
GRB130518A   2.55E14               1.64E6
GRB130427A   3.85E14               2.75E6
GRB120119A   1.25E13               2.97E5
GRB100728A   3.46E13               2.15E5
GRB091003A   2.34E14               6.22E5
GRB090926A   1.09E14               8.45E5
GRB090618    4.01E13               1.97E5
GRB090328    6.17E13               2.17E5
GRB081221    7.14E13               2.41E5
GRB080916C   6.45E14               1.22E6
